run_id,source_file,severity,alpha_deg,degradation_type,ambient_temperature,irradiance,load,SNR_dB,Peak_T_DTS,Peak_T_time_s,baseline_T_DTS,Delta_T_DTS,AUC_DTS,AUC_positive_DTS,Max_abs_dT_dt_DTS,Steady_T_DTS,Rise_time_10_90_DTS,Hotspot_position_m,Hotspot_index,Peak_spatial_temperature,Max_abs_dT_dx,Mean_abs_dT_dx,Inverter_region_mean_T,Inverter_region_max_T,Background_mean_T,Peak_T_surface,Delta_T_surface,AUC_surface,Max_abs_dT_dt_surface,Steady_T_surface,Rel_Delta_T_surface,Rel_Max_abs_dT_dx,n_time_samples,n_dts_channels,n_inverter_channels,duration_s
1,run_001_Healthy_Ta15_Vdc500_P2000.csv,Healthy,1.0,thermal_path,15.0,,500.0,,297.504749610416,0.0,297.47329575462896,0.03145385578704918,-123.86210731133508,0.004579201020587705,0.11053398946379718,293.9254097625371,,6.0,12.0,293.865606886238,1.2058189353500097,0.11764087174146437,293.865606886238,293.865606886238,292.659787950888,290.919672483193,2.342363218673313,119.13217491288658,3.329556180156942,290.9191108485849,0.7035061407382239,0.3621560562744949,6002,41,5,60.0
2,run_002_Mild_Ta15_Vdc500_P2000.csv,Mild,1.25,thermal_path,15.0,,500.0,,297.504749610416,0.0,297.47329893769086,0.03145067272515689,-121.21593010407852,0.0045783195514387896,0.11053398946379718,294.01144618349014,,6.0,12.0,293.95347157776,1.2936836267990088,0.12621303676087892,293.95347157776,293.95347157776,292.659787950961,291.117319929355,2.537728531104449,129.59474771248773,3.3295692839419644,291.11669532154104,0.762179223403925,0.38854383749821925,6002,41,5,60.0
3,run_003_Moderate_Ta15_Vdc500_P2000.csv,Moderate,1.5,thermal_path,15.0,,500.0,,297.504749610416,0.0,297.4733011347952,0.031448475620834415,-118.6190641678308,0.004577710422423909,0.11053398946379718,294.09671429140883,,6.0,12.0,294.040579969088,1.380792018189993,0.13471141640877982,294.040579969088,294.040579969088,292.6597879508979,291.314897592142,2.7337192689447534,139.98110319764098,3.3295780387998093,291.31423490968234,0.8210407556418647,0.41470480706549767,6002,41,5,60.0
4,run_004_Severe_Ta15_Vdc500_P2000.csv,Severe,2.0,thermal_path,15.0,,500.0,,297.504749610416,0.0,297.4733039695407,0.03144564087529034,-113.57051978810537,0.004576923699641733,0.11053398946379718,294.2649194624503,,6.0,12.0,294.21250139315,1.5527134419829736,0.15148423824224133,294.21250139315,294.21250139315,292.65978795116695,291.709787634848,3.1265479246739574,160.46722178820966,3.3295890045756096,291.70913018047327,0.9390191763540101,0.46633786928332405,6002,41,5,60.0
5,run_005_Healthy_Ta15_Vdc550_P2000.csv,Healthy,1.0,thermal_path,15.0,,550.0,,297.504749610416,0.0,297.4734167654044,0.031332845011604604,-119.94521758938349,0.0045552193799095215,0.11052455559040697,294.0554156840635,,6.0,12.0,293.998489985438,1.338702034234018,0.13060507651063588,293.998489985438,293.998489985438,292.65978795120407,291.225205838961,2.6010143942135073,132.2710785511078,3.686037878125717,291.224625502931,0.7056396272129671,0.3631818441634473,6002,41,5,60.0
6,run_006_Mild_Ta15_Vdc550_P2000.csv,Mild,1.25,thermal_path,15.0,,550.0,,297.504749610416,0.0,297.4734202958573,0.031329314558718124,-117.00759350072137,0.004554241665480652,0.11052455559040697,294.15093320625,,6.0,12.0,294.096037700551,1.4362497491819681,0.1401219267494603,294.096037700551,294.096037700551,292.65978795136897,291.44465697967,2.8179339015286473,143.88663578511353,3.686052356086293,291.4440109573479,0.7644855876438553,0.38964442455910264,6002,41,5,60.0
7,run_007_Moderate_Ta15_Vdc550_P2000.csv,Moderate,1.5,thermal_path,15.0,,550.0,,297.504749610416,0.0,297.4734227327025,0.03132687771352494,-114.12471476053645,0.004553566034353368,0.11052455559040697,294.24559758336625,,6.0,12.0,294.192745598124,1.5329576468820392,0.14955684359824772,294.192745598124,294.192745598124,292.6597879512421,291.664031040951,3.035547555265566,155.41752631198486,3.686062029648383,291.66334589898287,0.8235204754693534,0.4158795035330074,6002,41,5,60.0
8,run_008_Severe_Ta15_Vdc550_P2000.csv,Severe,2.0,thermal_path,15.0,,550.0,,297.504749610416,0.0,297.4734258767686,0.0313237336474117,-108.52014401509356,0.0045526934242956126,0.11052455559040697,294.4323379336458,,6.0,12.0,294.383612579487,1.7238246280260228,0.1681780124903437,294.383612579487,294.383612579487,292.659787951461,292.102486274424,3.4717160649743732,178.16103331598185,3.686074145467501,292.10180957499057,0.9418465087695785,0.4676586959450301,6002,41,5,60.0
9,run_009_Healthy_Ta15_Vdc600_P2000.csv,Healthy,1.0,thermal_path,15.0,,600.0,,297.504749610416,0.0,297.4735396882567,0.031209922159291636,-115.96276722904247,0.004530849611864945,0.1105150534082661,294.1876087337129,,6.0,12.0,294.13360962449,1.4738216734380103,0.14378748033541564,294.13360962449,294.13360962449,292.659787951052,291.53593473283,2.8641060615036054,145.6328189275954,4.046800193757008,291.535340810349,0.7077458545944663,0.36419432709123434,6002,41,5,60.0
10,run_010_Mild_Ta15_Vdc600_P2000.csv,Mild,1.25,thermal_path,15.0,,600.0,,297.504749610416,0.0,297.4735435713471,0.031206039068933933,-112.72881822574544,0.004529774179067684,0.1105150534082661,294.2927668898659,,6.0,12.0,294.241003366724,1.5812154154949667,0.1542649185848748,294.241003366724,294.241003366724,292.65978795122896,291.777560418117,3.1029467413332554,158.42076548979384,4.046816057849355,291.77689861606814,0.7667624861067417,0.3907307356923185,6002,41,5,60.0
